PV_ID,latitude,longitude
1866400,31.49,34.14
1868391,31.57,34.18
1868392,31.53,34.18
1868393,31.49,34.18
1868394,31.45,34.18
1868395,31.41,34.18
1870378,31.61,34.22
1870379,31.57,34.22
1870380,31.53,34.22
1870381,31.49,34.22
1870382,31.45,34.22
1870383,31.41,34.22
1870384,31.37,34.22
1870385,31.33,34.22
1872356,31.65,34.26
1872357,31.61,34.26
1872358,31.57,34.26
1872359,31.53,34.26
1872360,31.49,34.26
1872361,31.45,34.26
1872362,31.41,34.26
1872363,31.37,34.26
1872364,31.33,34.26
1872365,31.29,34.26
1872366,31.25,34.26
1874318,31.69,34.3
1874319,31.65,34.3
1874320,31.61,34.3
1874321,31.57,34.3
1874322,31.53,34.3
1874323,31.49,34.3
1874324,31.45,34.3
1874325,31.41,34.3
1874326,31.37,34.3
1874327,31.33,34.3
1874328,31.29,34.3
1874329,31.25,34.3
1874330,31.21,34.3
1874331,31.17,34.3
1874332,31.13,34.3
1876270,31.77,34.34
1876271,31.73,34.34
1876272,31.69,34.34
1876273,31.65,34.34
1876274,31.61,34.34
1876275,31.57,34.34
1876276,31.53,34.34
1876277,31.49,34.34
1876278,31.45,34.34
1876279,31.41,34.34
1876280,31.37,34.34
1876281,31.33,34.34
1876282,31.29,34.34
1876283,31.25,34.34
1876284,31.21,34.34
1876285,31.17,34.34
1876286,31.13,34.34
1876287,31.09,34.34
1876288,31.05,34.34
1878220,31.81,34.38
1878221,31.77,34.38
1878222,31.73,34.38
1878223,31.69,34.38
1878224,31.65,34.38
1878225,31.61,34.38
1878226,31.57,34.38
1878227,31.53,34.38
1878228,31.49,34.38
1878229,31.45,34.38
1878230,31.41,34.38
1878231,31.37,34.38
1878232,31.33,34.38
1878233,31.29,34.38
1878234,31.25,34.38
1878235,31.21,34.38
1878236,31.17,34.38
1878237,31.13,34.38
1878238,31.09,34.38
1878239,31.05,34.38
1878240,31.01,34.38
1880168,31.89,34.42
1880169,31.85,34.42
1880170,31.81,34.42
1880171,31.77,34.42
1880172,31.73,34.42
1880173,31.69,34.42
1880174,31.65,34.42
1880175,31.61,34.42
1880176,31.57,34.42
1880177,31.53,34.42
1880178,31.49,34.42
1880179,31.45,34.42
1880180,31.41,34.42
1880181,31.37,34.42
1880182,31.33,34.42
1880183,31.29,34.42
1880184,31.25,34.42
1880185,31.21,34.42
1880186,31.17,34.42
1880187,31.13,34.42
1880188,31.09,34.42
1880189,31.05,34.42
1880190,31.01,34.42
1882113,31.97,34.46
1882114,31.93,34.46
1882115,31.89,34.46
1882116,31.85,34.46
1882117,31.81,34.46
1882118,31.77,34.46
1882119,31.73,34.46
1882120,31.69,34.46
1882121,31.65,34.46
1882122,31.61,34.46
1882123,31.57,34.46
1882124,31.53,34.46
1882125,31.49,34.46
1882126,31.45,34.46
1882127,31.41,34.46
1882128,31.37,34.46
1882129,31.33,34.46
1882130,31.29,34.46
1882131,31.25,34.46
1882132,31.21,34.46
1882133,31.17,34.46
1882134,31.13,34.46
1882135,31.09,34.46
1882136,31.05,34.46
1882137,31.01,34.46
1884055,32.05,34.5
1884056,32.01,34.5
1884057,31.97,34.5
1884058,31.93,34.5
1884059,31.89,34.5
1884060,31.85,34.5
1884061,31.81,34.5
1884062,31.77,34.5
1884063,31.73,34.5
1884064,31.69,34.5
1884065,31.65,34.5
1884066,31.61,34.5
1884067,31.57,34.5
1884068,31.53,34.5
1884069,31.49,34.5
1884070,31.45,34.5
1884071,31.41,34.5
1884072,31.37,34.5
1884073,31.33,34.5
1884074,31.29,34.5
1884075,31.25,34.5
1884076,31.21,34.5
1884077,31.17,34.5
1884078,31.13,34.5
1884079,31.09,34.5
1884080,31.05,34.5
1884081,31.01,34.5
1884082,30.97,34.5
1885994,32.13,34.54
1885995,32.09,34.54
1885996,32.05,34.54
1885997,32.01,34.54
1885998,31.97,34.54
1885999,31.93,34.54
1886000,31.89,34.54
1886001,31.85,34.54
1886002,31.81,34.54
1886003,31.77,34.54
1886004,31.73,34.54
1886005,31.69,34.54
1886006,31.65,34.54
1886007,31.61,34.54
1886008,31.57,34.54
1886009,31.53,34.54
1886010,31.49,34.54
1886011,31.45,34.54
1886012,31.41,34.54
1886013,31.37,34.54
1886014,31.33,34.54
1886015,31.29,34.54
1886016,31.25,34.54
1886017,31.21,34.54
1886018,31.17,34.54
1886019,31.13,34.54
1886020,31.09,34.54
1886021,31.05,34.54
1886022,31.01,34.54
1886023,30.97,34.54
1887929,32.25,34.58
1887930,32.21,34.58
1887931,32.17,34.58
1887932,32.13,34.58
1887933,32.09,34.58
1887934,32.05,34.58
1887935,32.01,34.58
1887936,31.97,34.58
1887937,31.93,34.58
1887938,31.89,34.58
1887939,31.85,34.58
1887940,31.81,34.58
1887941,31.77,34.58
1887942,31.73,34.58
1887943,31.69,34.58
1887944,31.65,34.58
1887945,31.61,34.58
1887946,31.57,34.58
1887947,31.53,34.58
1887948,31.49,34.58
1887949,31.45,34.58
1887950,31.41,34.58
1887951,31.37,34.58
1887952,31.33,34.58
1887953,31.29,34.58
1887954,31.25,34.58
1887955,31.21,34.58
1887956,31.17,34.58
1887957,31.13,34.58
1887958,31.09,34.58
1887959,31.05,34.58
1887960,31.01,34.58
1887961,30.97,34.58
1889865,32.41,34.62
1889866,32.37,34.62
1889867,32.33,34.62
1889868,32.29,34.62
1889869,32.25,34.62
1889870,32.21,34.62
1889871,32.17,34.62
1889872,32.13,34.62
1889873,32.09,34.62
1889874,32.05,34.62
1889875,32.01,34.62
1889876,31.97,34.62
1889877,31.93,34.62
1889878,31.89,34.62
1889879,31.85,34.62
1889880,31.81,34.62
1889881,31.77,34.62
1889882,31.73,34.62
1889883,31.69,34.62
1889884,31.65,34.62
1889885,31.61,34.62
1889886,31.57,34.62
1889887,31.53,34.62
1889888,31.49,34.62
1889889,31.45,34.62
1889890,31.41,34.62
1889891,31.37,34.62
1889892,31.33,34.62
1889893,31.29,34.62
1889894,31.25,34.62
1889895,31.21,34.62
1889896,31.17,34.62
1889897,31.13,34.62
1889898,31.09,34.62
1889899,31.05,34.62
1889900,31.01,34.62
1889901,30.97,34.62
1891799,32.57,34.66
1891800,32.53,34.66
